:START_ID,:END_ID,:TYPE,restriction
obo.FOODON_00002403,AND_0,equivalent_to,
AND_0,obo.ENVO_00010483,member_of,
AND_0,BLANK_0,member_of,
BLANK_0,obo.CHEBI_33290,obo.RO_0000087,24.0
obo.FOODON_00001002,obo.FOODON_00002403,is_a,
Thesaurus.C103180,obo.OBI_0000658,is_a,
obo.OBI_0000658,obo.IAO_0000033,is_a,
obo.AGRO_00000025,obo.AGRO_00002071,is_a,
obo.AGRO_00002071,obo.OBI_0000011,is_a,
obo.AGRO_00000322,obo.AGRO_00002071,is_a,
obo.AGRO_00000360,obo.ENVO_01000408,is_a,
obo.ENVO_01000408,obo.BFO_0000029,is_a,
obo.AGRO_00000363,obo.AGRO_00000360,is_a,
obo.OBI_0000011,obo.BFO_0000015,is_a,
obo.AGRO_01000020,obo.AGRO_00002071,is_a,
obo.APOLLO_SV_00000796,obo.OBI_0000011,is_a,
obo.BFO_0000001,owl.Thing,is_a,
obo.BFO_0000002,obo.BFO_0000001,is_a,
obo.BFO_0000002,BLANK_1,is_a,
BLANK_1,obo.BFO_0000002,obo.BFO_0000050,25.0
obo.BFO_0000003,obo.BFO_0000001,is_a,
obo.BFO_0000004,obo.BFO_0000002,is_a,
obo.BFO_0000004,BLANK_2,is_a,
BLANK_2,obo.BFO_0000004,obo.BFO_0000050,25.0
obo.BFO_0000020,obo.BFO_0000002,is_a,
obo.BFO_0000031,obo.BFO_0000002,is_a,
obo.BFO_0000006,obo.BFO_0000141,is_a,
obo.BFO_0000141,obo.BFO_0000004,is_a,
obo.BFO_0000029,obo.BFO_0000141,is_a,
obo.BFO_0000008,obo.BFO_0000003,is_a,
obo.BFO_0000011,obo.BFO_0000003,is_a,
obo.BFO_0000015,obo.BFO_0000003,is_a,
obo.BFO_0000035,obo.BFO_0000003,is_a,
obo.BFO_0000009,obo.BFO_0000006,is_a,
obo.BFO_0000028,obo.BFO_0000006,is_a,
obo.BFO_0000016,obo.BFO_0000017,is_a,
obo.BFO_0000017,obo.BFO_0000020,is_a,
obo.BFO_0000023,obo.BFO_0000017,is_a,
obo.BFO_0000019,obo.BFO_0000020,is_a,
obo.BFO_0000018,obo.BFO_0000006,is_a,
obo.BFO_0000024,obo.BFO_0000040,is_a,
obo.BFO_0000040,obo.BFO_0000004,is_a,
obo.BFO_0000026,obo.BFO_0000006,is_a,
obo.BFO_0000027,obo.BFO_0000040,is_a,
obo.BFO_0000034,obo.BFO_0000016,is_a,
obo.BFO_0000038,obo.BFO_0000008,is_a,
obo.BFO_0000148,obo.BFO_0000008,is_a,
obo.BFO_0000144,obo.BFO_0000015,is_a,
obo.BFO_0000182,obo.BFO_0000015,is_a,
obo.BFO_0000145,obo.BFO_0000019,is_a,
obo.BTO_0000058,obo.FOODON_03420127,is_a,
obo.FOODON_03420127,obo.FOODON_03420164,is_a,
obo.BTO_0000262,obo.PO_0009011,is_a,
obo.PO_0009011,obo.FOODON_03420116,is_a,
obo.PO_0009011,obo.PO_0025131,is_a,
obo.BTO_0001217,obo.PO_0009011,is_a,
obo.CDNO_0000001,obo.FOODON_03411041,is_a,
obo.FOODON_03411041,obo.FOODON_00002403,is_a,
obo.CDNO_0000002,obo.CDNO_0000001,is_a,
obo.CDNO_0000003,obo.CHEBI_16646,is_a,
obo.CHEBI_16646,obo.CDNO_0000001,is_a,
obo.CHEBI_16646,obo.CHEBI_78616,is_a,
obo.CHEBI_16646,obo.FOODON_03420152,is_a,
obo.CDNO_0000004,obo.CDNO_0000003,is_a,
obo.CDNO_0000005,obo.CHEBI_16646,is_a,
obo.CDNO_0000006,obo.CDNO_0000005,is_a,
obo.CDNO_0000007,obo.CDNO_0000006,is_a,
obo.CDNO_0000008,obo.CDNO_0000005,is_a,
